央视频道,#genre#
CCTV1,http://114.228.147.197:4022/rtp/239.49.8.19:9614
CCTV2,http://114.228.147.197:4022/rtp/239.49.8.50:9802
CCTV3,http://114.228.147.197:4022/rtp/239.49.0.28:8000
CCTV4,http://114.228.147.197:4022/rtp/239.49.8.51:9806
CCTV5,http://114.228.147.197:4022/rtp/239.49.0.29:8000
CCTV5+,http://114.228.147.197:4022/rtp/239.49.8.18:9610
CCTV6,http://114.228.147.197:4022/rtp/239.49.0.73:8000
CCTV7,http://114.228.147.197:4022/rtp/239.49.0.126:8000
CCTV8,http://114.228.147.197:4022/rtp/239.49.0.79:8000
CCTV9,http://114.228.147.197:4022/rtp/239.49.8.53:9814
CCTV10,http://114.228.147.197:4022/rtp/239.49.8.54:9818
CCTV11,http://114.228.147.197:4022/rtp/239.49.0.127:8000
CCTV12,http://114.228.147.197:4022/rtp/239.49.8.55:9822
CCTV13,http://114.228.147.197:4022/rtp/239.49.8.109:8000
CCTV14,http://114.228.147.197:4022/rtp/239.49.8.56:9826
CCTV15,http://114.228.147.197:4022/rtp/239.49.0.128:8000
CCTV16,http://114.228.147.197:4022/rtp/239.49.8.31:8000
CCTV17,http://114.228.147.197:4022/rtp/239.49.8.52:9810
CCTV1,http://smjdenny.eu.org:35455/gaoma/cctv1.m3u8
CCTV2,http://smjdenny.eu.org:35455/gaoma/cctv2.m3u8
CCTV3,http://smjdenny.eu.org:35455/gaoma/cctv3.m3u8
CCTV4,http://smjdenny.eu.org:35455/gaoma/cctv4.m3u8
CCTV5,http://smjdenny.eu.org:35455/gaoma/cctv5.m3u8
CCTV5+,http://smjdenny.eu.org:35455/gaoma/cctv5p.m3u8
CCTV6,http://smjdenny.eu.org:35455/bptv/10000100000000050000000003870749.m3u8
CCTV7,http://smjdenny.eu.org:35455/gaoma/cctv7.m3u8
CCTV8,http://smjdenny.eu.org:35455/gaoma/cctv8.m3u8
CCTV9,http://smjdenny.eu.org:35455/gaoma/cctv9.m3u8
CCTV10,http://smjdenny.eu.org:35455/gaoma/cctv10.m3u8
CCTV11,http://smjdenny.eu.org:35455/gaoma/cctv11.m3u8
CCTV12,http://smjdenny.eu.org:35455/gaoma/cctv12.m3u8
CCTV13,http://smjdenny.eu.org:35455/gaoma/cctv13.m3u8
CCTV14,http://smjdenny.eu.org:35455/gaoma/cctv14.m3u8
CCTV15,http://smjdenny.eu.org:35455/gaoma/cctv15.m3u8
CCTV16,http://smjdenny.eu.org:35455/gaoma/cctv16.m3u8
CCTV4k,http://smjdenny.eu.org:35455/gaoma/cctv4k_10m.m3u8
卫视频道,#genre#
江苏卫视,http://114.228.147.197:4022/rtp/239.49.8.16:9602
东方卫视,http://114.228.147.197:4022/rtp/239.49.8.17:9606
北京卫视,http://114.228.147.197:4022/rtp/239.49.8.11:9414
湖南卫视,http://114.228.147.197:4022/rtp/239.49.8.12:9418
浙江卫视,http://114.228.147.197:4022/rtp/239.49.8.20:9618
深圳卫视,http://114.228.147.197:4022/rtp/239.49.8.15:9430
广东卫视,http://114.228.147.197:4022/rtp/239.49.8.13:9422
重庆卫视,http://114.228.147.197:4022/rtp/239.49.8.57:9830
辽宁卫视,http://114.228.147.197:4022/rtp/239.49.8.48:8000
天津卫视,http://114.228.147.197:4022/rtp/239.49.8.35:8620
安徽卫视,http://114.228.147.197:4022/rtp/239.49.8.80:8000
山东卫视,http://114.228.147.197:4022/rtp/239.49.8.7:9306
海南卫视,http://114.228.147.197:4022/rtp/239.49.8.83:8000
四川卫视,http://114.228.147.197:4022/rtp/239.49.8.110:8000
江西卫视,http://114.228.147.197:4022/rtp/239.49.8.111:8000
东南卫视,http://114.228.147.197:4022/rtp/239.49.8.112:8000
吉林卫视,http://114.228.147.197:4022/rtp/239.49.8.113:8000
河北卫视,http://114.228.147.197:4022/rtp/239.49.8.114:8000
黑龙江卫视,http://114.228.147.197:4022/rtp/239.49.8.14:9426
云南卫视,http://114.228.147.197:4022/rtp/239.49.0.177:8000
贵州卫视,http://114.228.147.197:4022/rtp/239.49.8.49:8000
湖北卫视,http://114.228.147.197:4022/rtp/239.49.8.8:9632
河南卫视,http://114.228.147.197:4022/rtp/239.49.8.29:8000
三沙卫视,http://114.228.147.197:4022/rtp/239.49.0.167:8000
甘肃卫视,http://114.228.147.197:4022/rtp/239.49.0.250:8000
广西卫视,http://114.228.147.197:4022/rtp/239.49.8.10:8000
浙江卫视,http://smjdenny.eu.org:35455/bptv/10000100000000050000000003873464.m3u8
湖南卫视,http://smjdenny.eu.org:35455/bptv/10000100000000050000000003873458.m3u8
江苏卫视,http://smjdenny.eu.org:35455/bptv/10000100000000050000000003873461.m3u8
东方卫视,http://smjdenny.eu.org:35455/bptv/10000100000000050000000003873462.m3u8
北京卫视,http://smjdenny.eu.org:35455/bptv/10000100000000050000000003870776.m3u8
广东卫视,http://smjdenny.eu.org:35455/bptv/10000100000000050000000003873459.m3u8
深圳卫视,http://smjdenny.eu.org:35455/bptv/10000100000000050000000003873474.m3u8
安徽卫视,http://smjdenny.eu.org:35455/bptv/10000100000000050000000003873469.m3u8
东南卫视,http://smjdenny.eu.org:35455/bptv/10000100000000050000000003873473.m3u8
天津卫视,http://192.168.68.2:35455/bptv/10000100000000050000000003873466.m3u8
山东卫视,http://192.168.68.2:35455/bptv/10000100000000050000000003873467.m3u8
辽宁卫视,http://192.168.68.2:35455/bptv/10000100000000050000000003873468.m3u8
重庆卫视,http://192.168.68.2:35455/bptv/10000100000000050000000004796458.m3u8
特色频道,#genre#
淘电影,http://smjdenny.eu.org:35455/bptv/10000100000000050000000003887498.m3u8
北京4K,http://smjdenny.eu.org:35455/bptv/10000100000000050000000003887500.m3u8
风云剧场,http://114.228.147.197:4022/rtp/239.49.8.89:8000
第一剧场,http://114.228.147.197:4022/rtp/239.49.8.94:8000
怀旧剧场,http://114.228.147.197:4022/rtp/239.49.8.91:8000
风云音乐,http://114.228.147.197:4022/rtp/239.49.8.92:8000
风云足球,http://114.228.147.197:4022/rtp/239.49.8.85:8000
世界地理,http://114.228.147.197:4022/rtp/239.49.8.87:8000
兵器科技,http://114.228.147.197:4022/rtp/239.49.8.88:8000
央视时尚,http://114.228.147.197:4022/rtp/239.49.8.93:8000
央视精品,http://114.228.147.197:4022/rtp/239.49.8.90:8000
央视台球,http://114.228.147.197:4022/rtp/239.49.8.32:8000
央视高网,http://114.228.147.197:4022/rtp/239.49.8.86:8000
中央教育,http://114.228.147.197:4022/rtp/239.49.8.115:8000
